,player,expected win
359,242,3.7679796412591726e-38
360,237,3.8538952254376977e-38
361,936,3.8625425950977983e-38
362,61,4.1131314982408234e-38
363,831,5.277345660893246e-38
364,296,6.074836322733854e-38
365,184,6.103420922341038e-38
366,587,6.609475626127704e-38
367,249,7.475224138412407e-38
368,781,8.395955935305785e-38
369,880,8.468729986465314e-38
370,984,8.869266039881503e-38
371,903,9.799686158371843e-38
372,684,1.037367224783715e-37
373,996,1.0797975685896102e-37
374,324,1.114090715223063e-37
375,378,1.2881352953587915e-37
376,611,1.5734471760121524e-37
377,832,1.668158114918321e-37
378,192,1.6958687268223775e-37
379,107,1.711285942031972e-37
380,908,2.153531568739017e-37
381,552,2.5291180632030416e-37
382,635,2.7770610805737606e-37
383,432,3.170068172595162e-37
384,507,3.187058867055524e-37
385,593,3.307104240761423e-37
386,956,3.3564565920754492e-37
387,986,3.4263689537443714e-37
388,319,3.5075581043039217e-37
389,944,3.5426113974345054e-37
390,352,3.98054404267302e-37
391,928,4.524855105457532e-37
392,266,5.035738911265719e-37
393,636,5.109944543388006e-37
394,901,5.6164995101956415e-37
395,734,6.332944468371312e-37
396,854,6.370076287716353e-37
397,435,7.039846682116037e-37
398,187,7.230274916356855e-37
399,679,8.097587854325747e-37
400,565,9.704764077653543e-37
401,939,1.118945133846415e-36
402,561,1.2767195384077432e-36
403,874,1.2904671829252387e-36
404,731,1.35644094257972e-36
405,870,1.5252680028820024e-36
406,327,1.543746284172195e-36
407,297,2.002750054591807e-36
408,533,2.1964902537341647e-36
409,537,2.2492971043939805e-36
410,121,2.5383296270276557e-36
411,920,3.0162486200452244e-36
412,318,3.073013060990813e-36
413,160,3.1766574578564524e-36
414,512,3.316429725042293e-36
415,389,3.499165842932562e-36
416,743,4.1673113937181156e-36
417,7,4.4254587051019416e-36
418,44,4.5469100142061213e-36
419,591,4.97400221262268e-36
420,993,5.14752917678047e-36
421,722,5.7768811907632145e-36
422,493,5.959110991500495e-36
423,174,5.989657814610087e-36
424,862,6.037559599365472e-36
425,795,6.287815779756369e-36
426,549,6.382113438415031e-36
427,87,6.918640276129218e-36
428,404,9.402851453585982e-36
429,455,1.0317030197639898e-35
430,601,1.3056944029197547e-35
431,654,1.6123107979846663e-35
432,393,1.6450699399255107e-35
433,999,1.7000427965416495e-35
434,498,1.7689419689126433e-35
435,217,1.9506634280392398e-35
436,508,2.0954835780878845e-35
437,852,2.114992933150941e-35
438,103,2.1394356143596468e-35
439,155,2.1479469062094126e-35
440,514,2.4018973362510184e-35
441,663,3.026834015664452e-35
442,756,3.2315379114324156e-35
443,403,3.280037871921051e-35
444,409,3.3065672259418213e-35
445,830,3.328602696111695e-35
446,354,3.5080105718919855e-35
447,619,3.617833138876105e-35
448,390,3.71210014690065e-35
449,531,3.7395856212446655e-35
450,120,3.975996043983473e-35
451,21,4.03972979297288e-35
452,396,4.460663307355417e-35
453,154,4.943827871064016e-35
454,698,5.389495142853728e-35
455,246,5.84420037968136e-35
456,567,6.079461504213261e-35
457,592,6.607879304653997e-35
458,421,8.037339151837975e-35
459,799,8.370542219836365e-35
460,516,9.138023853885955e-35
461,779,1.027300953546669e-34
462,757,1.263335968582468e-34
463,963,1.4754102139630964e-34
464,453,1.759112177909537e-34
465,921,1.8017674955680756e-34
466,254,1.8300542225261101e-34
467,642,1.9137404781655322e-34
468,282,2.078030442396802e-34
469,111,2.3291599102002394e-34
470,288,2.880712751028461e-34
471,740,3.435325765693881e-34
472,424,3.488319783492073e-34
473,536,4.017201865879205e-34
474,837,4.070594587909696e-34
475,257,4.455124413756086e-34
476,692,4.540873302140277e-34
477,177,4.934678908278074e-34
478,637,5.373267994061142e-34
479,42,5.5114866520620235e-34
480,741,5.5271681136874995e-34
481,207,7.053407734932034e-34
482,251,7.700858316100791e-34
483,817,7.87673616777805e-34
484,997,8.01726850507443e-34
485,816,9.067123765202055e-34
486,263,9.544665194293701e-34
487,373,1.0335684424487598e-33
488,992,1.1084365328383651e-33
489,341,1.2355403985173989e-33
490,669,1.3146099408397905e-33
491,806,1.3828530316504821e-33
492,571,1.3971593962975851e-33
493,224,1.4078378490931913e-33
494,53,1.4226437980228886e-33
495,281,1.692067339489298e-33
496,597,1.7921186651523006e-33
497,668,1.8683751231577893e-33
498,557,1.9710297643498993e-33
499,484,1.9996136661850126e-33
500,884,2.1509326267071907e-33
501,166,2.2242049447327766e-33
502,638,2.5205898876936574e-33
503,659,2.8414281270516628e-33
504,782,3.381465386272214e-33
505,420,3.423048428740689e-33
506,73,3.48036154149588e-33
507,729,3.74462944850422e-33
508,29,4.4734740055426194e-33
509,702,4.6562951863635944e-33
510,328,5.822230870529159e-33
511,285,6.484605976095628e-33
512,68,6.902528299601157e-33
513,38,7.781955392079232e-33
514,118,8.658728045818928e-33
515,466,9.640952872781188e-33
516,505,9.723593380841585e-33
517,737,1.0362059749469347e-32
518,106,1.0883137410257739e-32
519,752,1.1076004730139099e-32
520,753,1.1548067664516777e-32
521,875,1.1549076801367431e-32
